Date,Close,High,Low,Open,Volume
2020-01-02,208.3247833251953,208.33470850149027,204.8391371751135,205.31580323726652,12077100
2020-01-03,207.2224884033203,208.940483432474,205.51441855073767,205.77262467099823,11188400
2020-01-06,211.12522888183594,211.30397297299496,205.08740319354132,205.2661472847003,17058900
2020-01-07,211.58201599121094,213.09147610558128,210.2811057895453,211.3436905514798,14912400
2020-01-08,213.72705078125,214.73997942961384,211.13515537272028,211.52244939225042,13475000
2020-01-09,216.7856903076172,216.86513717856823,214.77969848669196,216.03095261005296,12642800
2020-01-10,216.54733276367188,218.35471484237715,215.91177299869705,217.6794240685626,12119400
2020-01-13,220.3706512451172,220.43023261072588,217.6893837221355,218.0766777515335,14463400
2020-01-14,217.54039001464844,220.8373666247612,217.11338017517343,220.07270383095607,13288900
2020-01-15,219.61590576171875,220.1422280098775,218.6129174526304,219.07965833729054,10036500
2020-01-16,220.23159790039062,221.08563273361517,218.86116603585972,221.02605137479898,10015300
2020-01-17,220.59902954101562,220.7479829401893,219.00019739381185,220.4897919973083,15905900
2020-01-21,219.90391540527344,220.82745689934762,217.6000015291001,220.61892211491747,14275800
2020-01-22,219.7847137451172,221.20478658310415,219.74498273887278,220.76783643205,12212800
2020-01-23,218.2355499267578,219.95356006699245,217.74895868662998,219.21868788922464,11195000
2020-01-24,216.42819213867188,220.2415511178351,214.61088469869372,219.26835344306713,11905800
2020-01-27,213.37948608398438,214.5612337228181,211.02593113625323,211.62177512063826,13810700
2020-01-28,216.27923583984375,217.22265803787514,212.0388667256018,214.64068755905473,13413800
2020-01-29,221.68148803710938,222.64476052789837,216.93464727874002,219.9039116233613,33181300
2020-01-30,208.07652282714844,209.96333677110164,203.3296821317416,205.0973333453647,48775500
2020-01-31,200.50936889648438,207.24233532558097,199.66525922245705,206.98412922847427,31359900
2020-02-03,202.77357482910156,203.71698182733147,201.09529561652263,202.02877743792925,15495600
2020-02-04,208.3744354248047,209.1390982668606,203.77654834930945,205.18669615551534,19628900
2020-02-05,208.65249633789062,211.25431690809782,207.2622140071557,211.03584180570505,12538200
2020-02-06,209.3873748779297,209.72501271809213,207.88783979748473,209.01000602542967,10567500
2020-02-07,210.85708618164062,211.34369254725343,208.47372569124286,208.84116933586483,12242500
2020-02-10,211.58201599121094,212.3168881205752,209.19867067625984,210.05270552548964,11856400
2020-02-11,205.75274658203125,209.3972863489781,205.0774557929644,208.73193588881574,25030800
2020-02-12,209.2979736328125,209.75478932639408,205.96128100859255,206.40817152622643,13813700
2020-02-13,211.66146850585938,212.8432160192069,207.7289319629748,208.06658493317434,15396600
2020-02-14,212.69427490234375,213.43907232335326,211.17488937571974,212.51553079471378,10741700
2020-02-18,216.2891387939453,216.46788287240472,211.91965221201255,212.0686207636686,15609200
2020-02-19,215.98130798339844,216.80555220875178,214.6108759999265,216.4778395538806,12135100
2020-02-20,213.09149169921875,217.25242870566726,211.47279392220503,215.0180366270395,13109200
2020-02-21,208.7220001220703,212.75384913384843,207.38137399647866,211.99911146175108,14092300
2020-02-24,199.32763671875,202.23730447540046,196.79532265517247,200.40014673931017,23080100
2020-02-25,195.40504455566406,202.08835545897765,194.5907254813855,200.8470264942419,21433500
2020-02-26,195.83203125,199.8142237950678,194.13390191303057,195.82210607451668,16524500
2020-02-27,188.43373107910156,194.52121298477465,188.1854652937536,190.48937905519435,21682600
2020-02-28,191.13487243652344,191.4030037393074,180.55875557704405,181.43264087587727,32568900
2020-03-02,195.07733154296875,195.20643460401246,187.53998571923182,192.68404566651745,24949000
2020-03-03,184.60049438476562,195.87176634591756,182.69381509933396,194.85883776670886,27984100
2020-03-04,190.42977905273438,190.499300744771,185.09703493000848,187.85774920031216,23062500
2020-03-05,183.885498046875,187.6790064786015,182.61437845213564,185.4843302930154,19333400
2020-03-06,179.83380126953125,182.5051435537278,175.03730446141012,177.09295244472247,24559600
2020-03-09,168.32420349121094,173.78605080213518,164.04410375021178,168.42351586713144,29949000
2020-03-10,176.95391845703125,177.05321567652598,168.3241975841464,173.45833205788816,24517800
2020-03-11,169.05906677246094,174.6599420229584,166.49696216863526,172.80290373103875,20373900
2020-03-12,153.39845275878906,165.44431257801335,153.26934971148583,158.433274615397,43266300
2020-03-13,169.0988006591797,169.60525743664599,156.5067665435294,162.39562405222614,35028600
2020-03-16,144.99713134765625,158.0261289460297,142.10732937100707,151.26337195931941,39120400
2020-03-17,148.38348388671875,152.87213325995907,139.0288314730961,149.6943344283049,34255600
2020-03-18,145.94058227539062,147.15210550290516,136.14897799823436,138.78058955655547,37553100
2020-03-19,152.06777954101562,158.82059748400542,143.7955608926163,145.60292811881055,39862300
2020-03-20,148.69134521484375,158.16517640687016,146.9733501618565,154.93772108236993,32568400
2020-03-23,147.07266235351562,151.2534498367458,141.26323671563284,148.6218384828333,29830800
2020-03-24,159.86331176757812,160.19102444618358,151.51166166344214,154.13334793934374,30440400
2020-03-25,155.12640380859375,161.85937086098946,151.99824574432336,157.81759650246724,35184300
2020-03-26,162.20693969726562,162.86236504696558,155.93078814327822,157.15225163830672,26556800
2020-03-27,155.70237731933594,158.97948901218527,153.67653499541476,157.10260011173537,24879900
2020-03-30,164.798828125,165.59328168240037,156.96356041043316,158.07578629902892,22515200
2020-03-31,165.64292907714844,169.74426940008115,163.06095894090598,164.33207850408797,23676300
2020-04-01,158.49288940429688,163.01131474567293,156.94369811683305,160.498866115439,19507600
2020-04-02,157.09266662597656,160.2307499066345,154.83840896803554,157.99635775508642,20886300
2020-04-03,153.11048889160156,156.81462582776484,149.7837360028719,156.05988803878378,25983300
2020-04-06,164.401611328125,165.0470963294274,157.41043810424367,159.03906110191917,28453600
2020-04-07,167.6588592529297,172.1872249496559,164.85841379930383,170.59831779332245,31411900
2020-04-08,173.071044921875,173.78605160356497,166.57641857495588,170.06206478348858,21664200
2020-04-09,173.9747314453125,175.8516201470857,170.37984777861084,174.67979777903207,23534300
2020-04-13,173.57749938964844,173.78604931612182,168.27454586436517,172.46527352296636,19355400
2020-04-14,176.9340362548828,179.9728066681748,175.39478554503634,177.73841487570257,21011800
2020-04-15,175.74237060546875,176.95390874859473,171.6211649754997,173.97471957427308,17423000
2020-04-16,175.02737426757812,176.81489090770748,171.3133127571394,176.71557853489006,23593200
2020-04-17,177.9966278076172,179.02940671969586,175.43452330197587,177.9568967996874,20974800
2020-04-20,177.00360107421875,179.24791858874698,175.5437968684905,176.17935674933565,16110700
2020-04-21,169.6151885986328,174.16341963186656,167.17224658884817,174.03431657376942,24850500
2020-04-22,181.0155487060547,183.49820656646574,176.90426789533163,177.21211504555205,33242000
2020-04-23,183.84576416015625,185.7524433652872,181.8794884445724,182.80304494485074,21426600
2020-04-24,188.75152587890625,189.0891637233697,179.57561664147886,181.95896221208622,28792000
2020-04-27,186.1993408203125,192.4059855143229,186.1099687734246,191.32355031639338,29197800
2020-04-28,181.64120483398438,187.88756608277328,181.29362663121276,187.35131858875093,21731000
2020-04-29,192.8429412841797,195.54407434511168,188.68200413690053,189.60554562057973,45954500
2020-04-30,203.28997802734375,208.23542861023947,200.1717601288913,205.48463925351143,46230100
2020-05-01,200.86688232421875,205.8421231201503,197.66921785286402,200.20153184952505,30415600
2020-05-04,203.8361358642578,204.48163600083174,197.38122541616488,198.8112387706745,19250700
2020-05-05,205.63360595703125,208.9206427542864,205.0675526545001,205.5839497659938,21071200
2020-05-06,207.0238800048828,210.13217257206165,205.226438093887,206.67630183463817,21857000
2020-05-07,209.7945098876953,210.1321628657145,207.58990854263362,209.69521266717027,15152000
2020-05-08,210.876953125,211.73098798812205,209.38735849068996,210.767715579033,12506000
2020-05-11,211.70120239257812,213.50858466173128,208.91069726867917,209.4270943674289,12911900
2020-05-12,208.64259338378906,213.78665370833536,208.54328099832713,211.8104524000062,14704600
2020-05-13,203.67724609375,209.31783717911497,200.7079819956033,207.9771959446382,20684600
2020-05-14,205.37539672851562,205.49455946285534,199.29785483012236,201.15487815397768,17178900
2020-05-15,209.4171600341797,209.87396059341705,202.70404350277974,203.8460752067552,19383200
2020-05-18,211.71112060546875,213.15105904194039,209.47672867382445,210.6783265158623,20151900
2020-05-19,215.37554931640625,218.9605080354322,211.35364036967425,211.7905905973803,31843200
2020-05-20,228.3747100830078,229.7352016081723,221.64174383799275,221.94959095802795,50162900
2020-05-21,229.78489685058594,235.55459170872658,229.596212415152,233.09179917687288,47782600
2020-05-22,233.2804718017578,234.35298183865513,227.15327389009346,229.90404794790888,33925600
2020-05-26,230.58924865722656,239.22889459168582,230.0629264267635,238.10674359332853,33178300
2020-05-27,227.5504913330078,228.96063919848814,219.5960608954578,227.48098479150323,34697600
2020-05-28,223.89602661132812,230.02322448717675,222.44614773114347,222.74406970958594,29377200
2020-05-29,223.528564453125,225.91192493062624,221.33390353773837,223.63780199775556,23241500
2020-06-01,230.30126953125,230.82759176743917,221.94960513746992,223.03204029092007,18223800
2020-06-02,231.10565185546875,231.38370831846598,224.98837936364816,229.33800070372604,20919000
2020-06-03,228.56341552734375,231.03613304360687,226.94471776311875,230.49988561626694,15380300
2020-06-04,224.72023010253906,230.02319828654856,223.0518914579982,227.96755050708978,17041500
2020-06-05,229.16917419433594,229.74515260657824,223.74704303973772,225.13734046157995,16750400
2020-06-08,229.79478454589844,229.94375309570484,225.83247265984625,227.4412299577658,15466500
2020-06-09,237.01437377929688,238.10674927591717,228.81167783729438,229.9139785100873,27462900
2020-06-10,235.0878448486328,239.53677885227395,233.64790625296925,239.28851305464434,20720700
2020-06-11,222.87315368652344,231.27447453517047,221.9992684255599,228.34494129684717,26708200
2020-06-12,226.99436950683594,230.05300573100092,222.9426701639008,228.3052049440834,22091400
2020-06-15,230.88719177246094,232.148386267117,223.24060823682154,223.52858989474873,15340300
2020-06-16,234.01531982421875,236.80583993965254,231.38370859875684,235.49498933855702,15236700
2020-06-17,233.89617919921875,235.9418870097397,230.1225359293252,233.36985690439315,19578100
2020-06-18,234.30331420898438,234.50192380176196,230.53959651055766,233.35990727858544,15782500
2020-06-19,237.133544921875,239.15940225061397,233.9160299866115,236.14048176349664,30081300
2020-06-22,237.56056213378906,239.0302913169497,235.2665887379737,236.90513683414446,18917800
2020-06-23,240.55960083007812,243.48913382308788,238.19610590108232,239.60625362629182,24017900
2020-06-24,232.3966522216797,241.53283054911833,231.0659360293835,239.52683866029304,20834900
2020-06-25,234.0451202392578,235.65389287595707,231.1255272528302,232.99247570529567,18704300
2020-06-26,214.5811004638672,231.4731002289126,213.90580960081755,231.0262248145247,76343900
2020-06-29,219.1094512939453,219.21868884580718,205.6733081796403,208.29499427138418,58514300
2020-06-30,225.49484252929688,225.92185238346752,216.95449391648202,219.05978281282887,33927100
2020-07-01,235.90216064453125,237.34209922008992,225.98145405470788,226.91493586523242,43399700
2020-07-02,231.80079650878906,238.33515379365124,230.99641778920605,237.34209065284438,30633600
2020-07-06,238.6132049560547,238.7323676813612,230.65877483009118,232.1384291791159,26206200
2020-07-07,239.18919372558594,245.9320859260207,237.16335154307643,237.74925517175492,27887800
2020-07-08,241.8903350830078,245.2766842178355,234.94881788839734,236.45827818903481,29791300
2020-07-09,242.80393981933594,244.8198567986477,237.58043311304624,243.3004713936086,22174900
2020-07-10,243.36996459960938,243.7870492548234,237.65985216387412,241.99953276609233,22982700
2020-07-13,237.3420867919922,248.41473457069335,236.76610836134074,245.29651696540154,24674900
2020-07-14,238.06703186035156,238.66287582943255,230.42044840616765,235.11763300398982,23378100
2020-07-15,238.6132049560547,243.12172000073272,236.3986784441116,239.87439935966435,19133600
2020-07-16,239.25868225097656,240.08292643144802,234.69060114304705,236.3490146798004,18880700
2020-07-17,240.35105895996094,242.46628819499767,236.20998768440782,239.32820518737046,18152400
2020-07-20,243.71755981445312,244.34319445651906,234.00540328579996,238.39474065095692,20872200
2020-07-21,240.07301330566406,245.197222727922,238.41459968566969,244.51200673910438,19364200
2020-07-22,238.2060546875,240.22197168454048,236.46819416226228,238.59334871272105,15427900
2020-07-23,230.98646545410156,240.73833647069756,230.14235582248742,237.96769730090455,21771800
2020-07-24,229.10960388183594,231.87031820103158,225.32602058690804,228.59320680579518,18325800
2020-07-27,231.88023376464844,233.32017222853034,229.22875710697724,229.8543917086879,13163100
2020-07-28,228.52369689941406,233.3301342650416,228.23571524102175,233.00242159332097,14170100
2020-07-29,231.6717071533203,232.07886670183765,228.71238306151577,229.53662733548674,13588300
2020-07-30,232.87332153320312,233.26061557697008,227.4114739066248,228.62301222875573,20615300
2020-07-31,251.91030883789062,254.07519422453737,247.27270608824304,254.04540354447278,53005100
2020-08-03,250.2122039794922,253.62832856946062,248.5935061569881,250.89740484105712,23124900
2020-08-04,248.0969696044922,251.0463683843728,245.71360894291308,249.8149646182432,17183500
2020-08-05,247.3918914794922,250.52004954939835,246.05126529491073,248.45447634230445,13050100
2020-08-06,263.4397888183594,264.750639437822,246.94500944110115,247.31243795431067,45241600
2020-08-07,266.5779113769531,276.95543485586205,261.60265460764964,262.2481396834829,72766400
2020-08-10,261.17559814453125,271.96024898116696,257.8885616722018,266.1806447086891,30248800
2020-08-11,254.353271484375,264.0753682859589,253.3602083264652,258.3851054810181,28238300
2020-08-12,258.0871887207031,262.0693512226244,256.319507274025,257.1735573160089,21415700
2020-08-13,259.4873962402344,263.3206358656525,257.7694163383827,259.73566203468766,17374000
2020-08-14,259.4277648925781,260.8279873402333,256.88552607163575,260.4903495615322,14792700
