Ticker,Model,MAE,RMSE,MAPE (%),R2,DA (%)
AAPL,1. Naive Persistence,2.184889534451314,3.097324848639939,0.9253777359018575,0.988147838285601,0.0
AAPL,"2. ARIMA(0, 1, 0)",2.184889534451314,3.097324848639939,0.9253777359018575,0.988147838285601,0.6622516556291391
AAPL,3. Decision Tree Pure,6.821813921068856,10.539756147558318,2.601324143159248,0.8627585869386102,62.913907284768214
AAPL,4. Decision Tree + Sentiment,6.82181392106886,10.539756147558318,2.6013241431592484,0.8627585869386102,62.913907284768214
AAPL,5. Decision Tree + mBERT,6.821813921068861,10.539756147558318,2.601324143159249,0.8627585869386102,62.913907284768214
AAPL,6. Random Forest Pure,6.216127893829566,10.038763779835264,2.3412589965746045,0.8754956500434818,64.90066225165563
AAPL,7. Random Forest + Sentiment,6.219943890527573,10.040339087571969,2.3433543223035866,0.8754565719141715,65.56291390728477
AAPL,8. Random Forest + mBERT,6.249254366203554,10.089437235522814,2.353774763139999,0.8742355369096233,65.56291390728477
AAPL,9. XGBoost Pure,7.330576410356733,11.530116843632763,2.761047361085452,0.8357552593338412,62.913907284768214
AAPL,10. XGBoost + Sentiment,7.320580286695464,11.492207333795726,2.7592461821129475,0.836833514106402,64.23841059602648
AAPL,11. XGBoost + mBERT,7.33486362482538,11.502826413236921,2.7662059902158163,0.8365318351784519,64.90066225165563
AAPL,12. BiLSTM Pure,6.45748072744205,7.954305773267528,2.615079323929759,0.9218320686943818,52.317880794701985
AAPL,13. BiLSTM + Sentiment,10.318334617362114,12.091052650851672,4.138206970363259,0.8193856386919802,47.682119205298015
AAPL,14. BiLSTM + mBERT,9.088988146245082,11.104614351080247,3.6273862476814767,0.8476540138538708,50.993377483443716
AMZN,1. Naive Persistence,3.2197521517735797,4.514444582452705,1.4214625358631685,0.840901900178464,0.0
AMZN,"2. ARIMA(0, 1, 1)",3.244252056570898,4.5537359946170035,1.4330234885077127,0.8381204317285504,50.31055900621118
AMZN,3. Decision Tree Pure,2.5791251712090477,3.925197077522838,1.112221687467434,0.8797239175756644,77.01863354037268
AMZN,4. Decision Tree + Sentiment,2.579125171209046,3.925197077522827,1.1122216874674336,0.879723917575665,77.01863354037268
AMZN,5. Decision Tree + mBERT,2.5791251712090464,3.925197077522829,1.112221687467434,0.8797239175756649,77.01863354037268
AMZN,6. Random Forest Pure,1.8726959252009836,2.836495179172221,0.8095205390970898,0.9371912081092125,79.5031055900621
AMZN,7. Random Forest + Sentiment,1.945984937378923,2.985608447482749,0.8394798273098355,0.9304139728629977,80.12422360248446
AMZN,8. Random Forest + mBERT,2.0486041982487393,3.1488584687777137,0.8822605978307234,0.9225961393851843,78.26086956521739
AMZN,9. XGBoost Pure,2.24734117969963,3.5649008288300053,0.9645763546058783,0.9007909602682638,78.26086956521739
AMZN,10. XGBoost + Sentiment,2.275613725555608,3.5926002980012357,0.976516333358138,0.8992432516111338,76.3975155279503
AMZN,11. XGBoost + mBERT,2.3142222528872267,3.6213841466382117,0.9931835811268206,0.8976222613556,76.3975155279503
AMZN,12. BiLSTM Pure,6.583188643366652,8.704880738547404,2.899189700699334,0.40846289542290226,49.06832298136646
