Date,Open,High,Low,Close,Volume
2010-02-22,11298.124772083294,11473.873688641203,11298.124772083294,11348.3388671875,959431
2010-02-23,11348.3388671875,11348.3388671875,11197.697414488508,11348.3388671875,1607022
2010-02-24,11373.443844854353,11674.7275390625,11247.909041652083,11674.7275390625,2404641
2010-02-25,11674.72885452793,11800.263671875,11498.979943719312,11800.263671875,2257498
2010-02-26,11750.048870241397,12302.4013671875,11724.942241330591,12302.4013671875,3043164
2010-03-01,12302.400346905577,12553.469945645726,12302.400346905577,12503.255859375,1934213
2010-03-02,12201.974142741978,12277.294862852208,11900.6904296875,11900.6904296875,1487827
2010-03-03,11925.798417194388,12051.332401169679,11800.263600605505,12001.119140625,681039
2010-03-04,12051.331290084006,12051.331290084006,11825.369140625,11825.369140625,611865
2010-03-05,11775.1552734375,11925.797541855356,11775.1552734375,11775.1552734375,447438
2010-03-08,11775.1552734375,11900.690080812281,11674.727927105794,11775.1552734375,1187633
2010-03-09,11775.156730460169,12051.3330078125,11775.156730460169,12051.3330078125,1437738
2010-03-10,12001.11798152752,12076.438697683472,11976.010521066528,12026.224609375,911278
2010-03-11,12101.545920360459,12101.545920360459,11925.7978515625,11925.7978515625,308581
2010-03-12,12001.118571420704,12001.118571420704,11825.369670009191,11925.7978515625,679341
2010-03-15,11925.798489222068,11950.905119646044,11800.263671875,11800.263671875,1140736
2010-03-16,11674.72740460681,11674.72740460681,11498.978515625,11498.978515625,982795
2010-03-17,11549.194647972225,11674.729471958335,11298.125,11298.125,722129
2010-03-18,11298.12300880955,11423.657810671308,11273.0163814826,11323.23046875,891956
2010-03-19,11323.231097899308,11323.231097899308,11197.6962890625,11197.6962890625,1107661
2010-03-22,11172.589433387524,11498.979787533977,11172.589433387524,11247.91015625,652480
2010-03-23,11273.0166015625,11549.192838004674,11247.909141131886,11273.0166015625,681922
2010-03-24,11298.124772083294,11348.3388671875,11247.910676979089,11348.3388671875,422207
2010-03-25,11197.696738836225,11273.017460640982,11047.054462613138,11097.2685546875,459697
2010-03-26,11423.658203125,11423.658203125,11047.05378460169,11423.658203125,967310
2010-03-29,11323.230689810216,11423.658033692138,11247.909141131886,11273.0166015625,560995
2010-03-30,11172.589276492256,11247.909998297013,11097.2685546875,11097.2685546875,404378
2010-03-31,11072.162150355085,11247.910227272727,11047.0546875,11047.0546875,505507
2010-04-01,11097.2685546875,11097.2685546875,11021.947832882743,11097.2685546875,910124
2010-04-02,11298.124049262944,11298.124049262944,11047.054422418229,11122.3759765625,646843
2010-04-05,11273.016823611804,11298.123451923442,11172.588645138196,11222.802734375,902551
2010-04-06,11222.80197647072,11247.908603086844,11172.587890625,11172.587890625,844040
2010-04-07,11172.589235840587,11172.589235840587,11072.161884670842,11122.3759765625,568296
2010-04-08,11047.053894063252,11122.375444605068,11021.947265625,11021.947265625,904317
2010-04-09,10946.62733392043,11097.26878059658,10946.62733392043,11047.0546875,781183
2010-04-12,11072.160551547033,11172.587890625,11047.053092317437,11172.587890625,1003612
2010-04-13,11097.267178163156,11172.587890625,11021.946465701312,11172.587890625,397587
2010-04-14,11021.946690560968,11021.946690560968,10921.519349434173,10946.6259765625,284844
2010-04-15,11047.053317689295,11047.053317689295,10921.519349434173,10946.6259765625,1021576
2010-04-16,10946.62740560078,10971.734036006677,10846.19921875,10846.19921875,769909
2010-04-19,10795.986557149932,10821.093188949328,10745.7724609375,10745.7724609375,524897
2010-04-20,10745.770951757824,10770.877580031143,10620.236145164183,10645.3427734375,682126
2010-04-21,10620.236106335924,10670.4501953125,10620.236106335924,10670.4501953125,497934
2010-04-22,10745.769292761834,11122.373654400333,10720.662668364626,10996.8388671875,714420
2010-04-23,10996.8388671875,10996.8388671875,10996.8388671875,10996.8388671875,0
2010-04-26,10996.840285140015,11047.053540409019,10896.412109375,10896.412109375,698765
2010-04-27,10921.519919258464,11047.053894063252,10896.412458206682,11021.947265625,928563
2010-04-28,10971.73474844735,10996.842213097178,10896.414019725175,10921.521484375,378943
