Date,Open,High,Low,Close,Volume
2010-02-22,2062.4820389096253,2062.4820389096253,2030.505571777057,2046.493896484375,4319382
2010-02-23,1998.5294045904293,2014.5177316973286,1966.5529326587257,1982.541259765625,8324951
2010-02-24,1982.541259765625,1982.541259765625,1934.576460727022,1982.541259765625,8684296
2010-02-25,1982.5413059953466,2014.5177786726908,1966.5529785156248,1966.552978515625,9524870
2010-02-26,1966.553011296301,1982.5413390425338,1934.5765380859375,1934.5765380859375,10547101
2010-03-01,1950.5648333180022,1982.5413059953466,1950.5648333180022,1966.552978515625,6633762
2010-03-02,1966.552782742888,2046.4940476190475,1966.552782742888,2014.517578125,12838833
2010-03-03,2046.493896484375,2046.493896484375,2014.5174293518066,2046.493896484375,11668567
2010-03-04,2078.4703636169434,2094.4585060421937,2046.493896484375,2046.493896484375,16204397
2010-03-05,2062.482421875,2078.470749551059,2046.4942764810423,2062.482421875,11226098
2010-03-08,2094.458937623152,2110.447265625,2062.482463901561,2110.447265625,10509976
2010-03-09,2110.447265625,2126.435411344743,2078.470791903409,2110.447265625,19683673
2010-03-10,2110.446872084888,2142.42333984375,2094.4585470644215,2142.42333984375,13000643
2010-03-11,2206.376708984375,2238.353183027627,2190.3883808216956,2206.376708984375,39044193
2010-03-12,2222.3648548649476,2222.3648548649476,2190.3883808216956,2206.376708984375,14550101
2010-03-15,2206.3762643941177,2222.36440705304,2190.387939453125,2190.387939453125,11617432
2010-03-16,2174.400102007951,2174.400102007951,2126.435302734375,2126.435302734375,13671001
2010-03-17,2142.423396183894,2142.423396183894,2078.470458984375,2078.470458984375,15930277
2010-03-18,2126.435302734375,2126.435302734375,2062.4823585576705,2126.435302734375,8686397
2010-03-19,2126.435411344743,2142.423739346591,2094.458937623152,2110.447265625,8672855
2010-03-22,2094.458602143217,2110.4469275841348,2062.482133543457,2078.470458984375,8577590
2010-03-23,2078.470749551059,2078.470749551059,2046.4942764810423,2062.482421875,10322715
2010-03-24,2110.4469275841348,2110.4469275841348,2046.4939903846155,2078.470458984375,9484943
2010-03-25,2062.4822070439905,2062.4822070439905,2014.5175935760774,2030.5057373046875,9801325
2010-03-26,2046.493896484375,2062.4820389096253,2030.505571777057,2046.493896484375,5798325
2010-03-29,2062.4820389096253,2078.4703636169434,2030.505571777057,2046.493896484375,4406008
2010-03-30,2046.4940633153801,2062.4822070439905,2030.5057373046877,2030.5057373046875,7130168
2010-03-31,2030.5060151301318,2030.5060151301318,1998.529541015625,1998.529541015625,13562660
2010-04-01,2030.505571777057,2046.493896484375,1998.5291046444886,2046.493896484375,11084602
2010-04-02,2062.482133543457,2078.470458984375,2030.5056649436976,2078.470458984375,10338125
2010-04-05,2110.446872084888,2142.42333984375,2094.4585470644215,2142.42333984375,15001209
2010-04-06,2174.399807602612,2190.387950341007,2142.42333984375,2142.42333984375,20928189
2010-04-07,2158.411376953125,2174.3997011911497,2126.4349107591374,2158.411376953125,11320896
2010-04-08,2158.411376953125,2174.3997011911497,2142.4232349971626,2158.411376953125,9809498
2010-04-09,2158.411376953125,2190.3878431471126,2142.4232349971626,2158.411376953125,11708027
2010-04-12,2174.3997011911497,2174.3997011911497,2142.4232349971626,2158.411376953125,9222964
2010-04-13,2142.4232349971626,2158.411376953125,2142.4232349971626,2158.411376953125,14151996
2010-04-14,2158.4114825821453,2158.4114825821453,2126.4350148232834,2142.42333984375,9591649
2010-04-15,2158.4120613175796,2174.400390625,2142.4239142922797,2174.400390625,13372130
2010-04-16,2174.3997011911497,2174.3997011911497,2158.411376953125,2158.411376953125,6931466
2010-04-19,2174.3997011911497,2190.3878431471126,2158.411376953125,2158.411376953125,7642918
2010-04-20,2174.3997011911497,2174.3997011911497,2142.4232349971626,2158.411376953125,6246398
2010-04-21,2174.3997011911497,2174.3997011911497,2142.4232349971626,2158.411376953125,13534875
2010-04-22,2158.4114718532105,2206.3762643941177,2142.4233291942883,2190.387939453125,17425565
2010-04-23,2190.387939453125,2190.387939453125,2190.387939453125,2190.387939453125,0
2010-04-26,2206.376708984375,2222.3648548649476,2190.3883808216956,2206.376708984375,21566792
2010-04-27,1544.463623046875,1544.463623046875,1534.870663173829,1544.463623046875,46761128
2010-04-28,1544.4634186350766,1560.4515614527038,1544.4634186350766,1547.6610107421875,24871182
2010-04-29,1544.4635061850142,1547.661098473385,1525.277587890625,1525.277587890625,11397015
2010-04-30,1525.277587890625,1525.277587890625,1525.277587890625,1525.277587890625,0
2010-05-03,1525.277587890625,1525.277587890625,1525.277587890625,1525.277587890625,0
2010-05-04,1531.6729472256648,1534.8707221609723,1518.882394330744,1522.080078125,8430956
2010-05-05,1502.8939966957369,1509.2893635993653,1486.90576171875,1486.90576171875,14592363
2010-05-06,1477.3128936453911,1493.3011286223782,1474.115210193577,1486.90576171875,11658994
2010-05-07,1467.7201711493688,1470.917855116915,1442.1389728321676,1451.73193359375,13214056
2010-05-10,1448.533959226973,1448.533959226973,1432.5457248766438,1435.743408203125,15331601
2010-05-11,1438.941091529606,1454.929325879935,1435.743408203125,1435.743408203125,7175933
2010-05-12,1406.9647094459262,1413.3599853515625,1397.3717500169498,1413.3599853515625,8433992
2010-05-13,1406.964599609375,1419.7551504221365,1400.5692330619574,1406.964599609375,5346283
2010-05-14,1422.9528336958451,1429.3481091022259,1406.964599609375,1406.964599609375,3891390
2010-05-17,1406.9648322610294,1406.9648322610294,1359.0001220703125,1359.0001220703125,5884951
2010-05-18,1343.0118800075295,1359.000116674286,1343.0118800075295,1346.20947265625,5219263
2010-05-19,1317.430495127573,1327.0234539870123,1298.244577408695,1301.4422607421875,10709612
2010-05-20,1295.0471751493567,1359.0001220703125,1295.0471751493567,1359.0001220703125,5995627
2010-05-21,1295.0470145089284,1343.01171875,1291.8493311031075,1343.01171875,8802677
2010-05-24,1327.0235912181713,1327.0235912181713,1291.8494354764512,1295.047119140625,7910968
2010-05-25,1295.047119140625,1295.047119140625,1295.047119140625,1295.047119140625,0
2010-05-26,1295.0470245682304,1304.639892578125,1279.0587896970176,1304.639892578125,4792672
2010-05-27,1304.639892578125,1307.837576008784,1295.0470245682304,1304.639892578125,7007584
2010-05-28,1358.9999534970239,1358.9999534970239,1285.454055432506,1343.01171875,6728560
2010-05-31,1343.01164808131,1349.406923415395,1333.4186895096652,1339.81396484375,6304304
2010-06-01,1314.2328415207328,1349.4069944206014,1314.2328415207328,1343.01171875,3407593
2010-06-02,1343.01171875,1346.2093110147805,1339.814035344179,1343.01171875,6507443
