Date,Open,High,Low,Close,Volume
2010-02-22,7060.395814376945,7060.395814376945,6935.063323280277,6976.8408203125,1133835
2010-02-23,6809.731763301709,6851.509266046314,6684.399255067895,6726.1767578125,937571
2010-02-24,6684.399255067895,6767.954260557105,6684.399255067895,6726.1767578125,1362024
2010-02-25,6726.1767578125,6809.731763301709,6642.62175232329,6726.1767578125,1948932
2010-02-26,6684.399569623563,6684.399569623563,6517.28955078125,6517.28955078125,4971986
2010-03-01,6726.176917800821,6726.176917800821,6684.3994140625,6684.3994140625,503177
2010-03-02,6684.3994140625,6684.3994140625,6642.621910324178,6684.3994140625,1409404
2010-03-03,6767.95361328125,6767.95361328125,6726.176114532175,6767.95361328125,1513304
2010-03-04,6851.50911924428,6893.28662109375,6767.954115545339,6893.28662109375,2242929
2010-03-05,6893.287271415817,6935.064777206634,6851.509765625,6851.509765625,2007702
2010-03-08,6851.50911924428,6935.06412294322,6851.50911924428,6893.28662109375,2113489
2010-03-09,6935.062206886089,7018.6171875,6935.062206886089,7018.6171875,3222801
2010-03-10,7143.951365731355,7352.8388671875,7060.396365148896,7352.8388671875,8656462
2010-03-11,7478.171544244243,7519.949045519735,7352.839040417766,7436.39404296875,1751579
2010-03-12,7478.171544244243,7478.171544244243,7352.839040417766,7436.39404296875,2446595
2010-03-15,7436.393867769958,7436.393867769958,7269.283866605042,7352.8388671875,1729739
2010-03-16,7185.727148727823,7227.504639034779,7018.6171875,7018.6171875,4660284
2010-03-17,7143.952474487874,7185.72998126306,7018.619954162314,7060.3974609375,2485049
2010-03-18,7060.397300905739,7227.50732421875,7060.397300905739,7227.50732421875,693637
2010-03-19,7269.284994009887,7269.284994009887,7143.952473698182,7185.72998046875,1408243
2010-03-22,7143.949658420867,7143.949658420867,7018.6171875,7018.6171875,1037626
2010-03-23,7018.619954966193,7102.174968526137,6893.287434626279,6935.06494140625,931113
2010-03-24,7060.395842644264,7143.950837043235,7018.618345444779,7102.17333984375,1757891
2010-03-25,7102.1733114091685,7102.1733114091685,6935.063323280277,6976.8408203125,1784882
2010-03-26,6935.064941406251,6976.842448186222,6851.509927846308,6935.06494140625,1106989
2010-03-29,7018.619954162314,7102.174967712687,6976.842447387127,7060.3974609375,650248
2010-03-30,7060.395814376945,7060.395814376945,6893.285826248053,6976.8408203125,1558144
2010-03-31,7018.6183173447225,7018.6183173447225,6976.840820312499,6976.8408203125,1305213
2010-04-01,7018.618345444779,7102.173339843749,7018.618345444779,7102.17333984375,2080694
2010-04-02,7185.72998046875,7227.507487239319,7102.174966927613,7185.72998046875,2224355
2010-04-05,7227.507487239319,7227.507487239319,7185.72998046875,7185.72998046875,1210527
2010-04-06,7185.72998046875,7269.284994009887,7185.72998046875,7185.72998046875,2064368
2010-04-07,7185.729818390498,7227.50732421875,7185.729818390498,7227.50732421875,1096251
2010-04-08,7185.72998046875,7269.284994009887,7185.72998046875,7185.72998046875,989086
2010-04-09,7185.72998046875,7227.507487239319,7185.72998046875,7185.72998046875,784840
2010-04-12,7269.28515625,7269.28515625,7227.507648547017,7269.28515625,1371602
2010-04-13,7269.2815947963945,7311.05908203125,7227.504107561539,7311.05908203125,1921070
2010-04-14,7269.2815947963945,7311.05908203125,7227.504107561539,7311.05908203125,978783
2010-04-15,7352.8365692661055,7352.8365692661055,7269.2815947963945,7311.05908203125,1485588
2010-04-16,7352.840171655966,7352.840171655966,7269.28515625,7269.28515625,727666
2010-04-19,7269.284994009887,7269.284994009887,7185.72998046875,7185.72998046875,1843290
