Date,Open,High,Low,Close,Volume,avg_polarity,max_polarity,min_polarity,sum_polarity,count_mentions,avg_intensity,avg_credibility,avg_relevance
2023-01-03,86.52671377472583,89.69869166081159,86.18482298818273,87.35295104980469,27891000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,93.87734571300555,99.26211441826295,92.09192178965746,98.69229888916016,53291800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,96.29906920103066,100.38275313112013,95.57729901159816,99.31909942626952,30400400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,98.87274832807076,102.5670613469376,97.30575010837296,101.99724578857422,21072400,0.0,0.0,0.0,0.0,1.0,0.9233074188232422,0.9233074188232422,0.0
2023-01-09,106.35634215102276,107.42000317073692,102.68102709916369,105.25469970703124,42085300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,107.28704608247077,109.6707825784168,105.61558084165776,109.10095977783205,33478600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,108.83504706970524,109.41436160743758,106.66024461988351,109.23391723632812,22804400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,107.94233904083757,108.06579678455306,105.8435066784882,107.45799255371094,16590600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,108.75907160327934,112.04502278186848,108.3507024507216,111.12381744384766,25615100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,109.70876432993776,111.12381511118846,108.58812392869382,109.39537048339844,16945600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,110.87688960936045,110.87688960936045,107.35352208096728,107.52446746826172,15347900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,108.28422230929712,111.11431663910844,108.2367419059554,110.71544647216795,18489900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,112.3508283176565,114.02038808158572,111.87408243464512,113.83045196533205,18342700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,113.96340188405772,114.24831328700704,112.19412105520904,113.5170440673828,13590200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,109.21492388491008,113.96339883642791,109.21492388491008,113.43157196044922,7807100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,112.54835369252731,114.26729928138192,111.58915973750568,114.20082092285156,9705000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,114.91309937999858,115.19801078909732,112.78768287438804,114.50473022460938,11171000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,113.66899395596776,113.68798466741808,110.93386778886926,112.42488861083984,18027400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,106.07143485957904,107.4579886638457,104.25751396604804,105.6060791015625,21918200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,103.9156188043166,106.44181082767102,103.33630431010668,104.65637969970705,15330000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,106.23288593186624,108.21774505353343,104.60890831079364,107.14459228515624,16623000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,106.84068845032422,106.864432274655,102.38661654211494,104.2195281982422,23396900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
