Date,Open,High,Low,Close,Volume,sentiment
2023-01-03,121.863674236056,125.38603554945252,121.3278779828358,123.76872253417967,35528500,-0.4346355
2023-01-04,126.3881744377628,128.04517701826012,124.8700887353222,126.37825775146484,32397100,0.0
2023-01-05,125.14790852344242,127.51930617905816,123.5702924084817,125.95160675048828,25447100,0.0
2023-01-06,127.96580198249362,129.3152132188516,125.0586155413681,129.00762939453125,27584500,0.247589
2023-01-09,130.1387577046288,131.91481363671815,128.27339102960076,128.4619140625,26649100,0.0
2023-01-10,126.2789982471746,132.40096078307965,126.15993748193009,131.9544677734375,28684400,0.0
2023-01-11,129.94030532233305,132.80780214441828,129.32512256861318,131.8552703857422,25423000,0.0
2023-01-12,132.40099536982513,136.6079716671771,130.7340685210791,135.64553833007812,30757700,0.0
2023-01-13,133.91907764338632,136.3202328612328,133.79008502400478,135.91342163085938,22423800,0.0
2023-01-17,135.11963753309317,135.68520653868867,133.20467259831045,134.3060302734375,21147600,0.0
2023-01-18,134.75253769902895,136.181327823177,131.76597996728842,131.98426818847656,20215500,0.0
2023-01-19,131.45838403334974,136.37975496300405,131.1111032207427,135.08987426757812,28625200,0.0
2023-01-20,134.8319210690861,138.85038964114324,133.56188872561822,138.28482055664062,28688600,0.0
2023-01-23,138.20542835766489,142.6406244467156,137.5803440727501,142.15444946289062,27470100,0.0
2023-01-24,140.58677520128853,143.8710004442041,140.25934283175573,142.02548217773438,21970200,0.0
2023-01-25,140.12040528118638,142.05521876598272,139.21748727495543,140.39822387695312,26622000,0.0
2023-01-26,143.27566241206785,146.36144784409134,142.18423634844635,146.15309143066406,25482100,0.0
2023-01-27,147.08575448002523,151.99720893784095,146.24236683556117,150.55850219726562,35771900,0.0
2023-01-30,148.24665581205556,149.9433327979943,145.80580339476526,145.91494750976562,28040100,0.0
2023-01-31,146.79798134611173,148.7129612354051,146.37133681687672,147.81004333496094,29842100,0.0
2023-02-01,146.87738577590028,152.38417457555312,145.91493732172768,151.92774963378906,55661000,-0.927942
2023-02-02,181.9521548693141,195.6248585732531,178.75722551393994,187.30018615722656,150475700,0.082312
2023-02-03,182.04143493203435,195.23787916833177,181.46594921292,185.07760620117188,76809700,-0.2011345
2023-02-06,185.0776087109676,189.215137765212,184.075478386839,184.6112670898437,42483800,-0.09471650000000004
2023-02-07,184.13501165753016,192.2711605893038,182.9641916734573,190.1279754638672,47080700,0.0
2023-02-08,188.5205745350657,189.3441135985161,181.49570078296176,182.0017242431641,36139100,0.0
2023-02-09,184.6807175636952,185.1966577219229,175.88970468339843,176.53463745117188,37118800,0.0
2023-02-10,174.97688855603946,177.49710464211017,172.00024751549427,172.79400634765625,33433600,0.9391783333333333
2023-02-13,176.83231268780145,179.59066534207818,174.45100605417406,178.0328826904297,31463200,0.0
2023-02-14,175.78057644351702,180.096696800279,174.51054416410403,178.08250427246094,24034600,0.0
