Date,Open,High,Low,Close,Volume,avg_polarity,max_polarity,min_polarity,sum_polarity,count_mentions,avg_intensity,avg_credibility,avg_relevance
2023-01-03,88.85560627643153,90.30364497529531,87.79437761826055,88.38946533203125,28131200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,89.60939097444722,89.90693487275944,86.55463621028365,87.35800170898438,34854800,-0.983327,-0.983327,-0.983327,-0.983327,1.0,-0.786661,0.987256,0.005758
2023-01-05,86.75299440017858,86.85217316940673,85.19586426604603,85.49340057373047,27194400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,86.07855936732152,86.97118333274179,84.16437980636358,86.6240463256836,41381500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,87.63568639320383,89.31183536259933,87.13978504764104,87.29846954345703,29003900,-0.96992,-0.96992,-0.96992,-0.96992,1.0,-0.96992,0.976387,0.0
2023-01-10,85.27521189352831,87.94315639958413,85.12643995349273,87.69520568847656,30467800,0.0,0.0,0.0,0.0,1.0,0.0,0.526037,0.010619
2023-01-11,88.44896825112974,90.8491290549015,88.28036360214634,90.76978302001952,26862000,0.200125,0.200125,0.200125,0.200125,1.0,0.1601,0.744601,0.0
2023-01-12,90.730109698064,91.11691212598826,89.01428778515732,90.38297271728516,30258100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,90.1052744877532,91.4342940509324,89.3911753274604,91.3648681640625,26329200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,91.30536421618127,91.49380917136952,89.31184601733088,90.54167938232422,32602400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,91.3847206735028,92.03931423444143,89.89701628975767,90.37308502197266,29116700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,89.97635197425116,92.84266148471706,89.88708578674498,92.2872543334961,37000400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,94.32042979884235,97.49420279530663,94.24108377138867,97.21649169921876,63191100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,97.1470940532692,99.21996611358018,96.70078576111408,98.97201538085938,40005100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,97.29585441335684,98.79347877926642,96.40323036854797,96.89913177490234,33078500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-25,94.78659020973076,95.37175777745864,92.99142962152445,94.43946075439452,42330000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,95.70896843494371,96.77019710869844,94.59814659536164,96.7206039428711,30114000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-27,96.5123239826297,99.49765240364174,96.5123239826297,98.5554428100586,33879800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-30,96.68093725731848,97.48429507886306,95.60978845068932,96.1453628540039,27226200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,96.07593999568378,98.0694581762873,96.02634682892344,98.02978515625,29870700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,97.9008410488006,100.3605150098942,96.78010675117608,99.60674285888672,35531100,0.40251666666666663,0.979902,0.104702,1.20755,3.0,0.311543,0.8649173333333334,0.2390256666666667
2023-02-02,104.93272708957907,106.9659180535198,104.74428215805406,106.85681915283205,69883800,-0.24417799999999995,0.611468,-0.946552,-1.2208899999999998,5.0,-0.1677972,0.8435726000000001,0.0013172
2023-02-03,102.0862481346533,106.92624239319603,101.73911871689424,103.92108154296876,65309300,-0.70831725,-0.068292,-0.978938,-2.833269,4.0,-0.545595,0.8900772499999999,0.0047747499999999995
2023-02-06,101.56059433437012,103.5045266483121,101.04485271151285,102.0564956665039,31999600,0.2719552,0.796033,-0.675352,1.359776,5.0,0.273876,0.7248152,0.0081972
2023-02-07,102.37387842734272,107.29321903254016,102.27469966826962,106.75764465332033,49010200,-0.21061300000000002,0.222806,-0.983624,-0.631839,3.0,-0.21061300000000002,0.803267,0.011156666666666667
