title,date,stock
Vietnam steelmaker giant Hoa Phat’s net profit hits 2-year high,2025-01-26,HPG
Hoa Phat Group wants the largest iron mining in Southeast Asia,2025-02-10,HPG
Hòa Phát’s chairman family faces major losses after Trump’s tariff announcement,2025-02-17,HPG
India issues Hoa Phat BIS licences,2025-02-24,HPG
Heavyweight Hoa Phat benefits most from Vietnam's anti-dumping duty on China’s steel,2025-02-25,HPG
US tariffs may impact Việt Nam’s aluminium and steel exports,2025-02-26,HPG
Anti-dumping tariffs on Chinese steel to boost local products,2025-02-27,HPG
Hoa Phat Phu Tho Poultry Company delivers its largest batch of breeding chickens to Binh Thuan Province,2025-03-08,HPG
Hoa Phat chairman Tran Dinh Long sees wealth decline amidst gains for other Vietnamese billionaires,2025-03-17,HPG
Hoa Phat sets an expected revenue target of 170 trillion VND for 2025,2025-03-26,HPG
Leading steelmaker Hoa Phat targets record revenue on partial operation of central Vietnam plant,2025-03-27,HPG
Stock market rebounds strongly as hundreds of shares hit ceiling,2025-04-10,HPG
Stocks close week in green,2025-04-11,HPG
Steel giant Hoa Phat establishes 3 subsidiaries for major projects in central Vietnam,2025-04-15,HPG
"Hoa Phat Records Over VND 3.3 Trillion in Q1 2025 Net Profit, Up 16% YoY",2025-04-17,HPG
Major steelmaker Hoa Phat plans $541 mln rail steel factory in central Vietnam,2025-04-17,HPG
Vietnam's steel industry will see 'turning points': Hoa Phat CEO,2025-05-01,HPG
Football South Australia Welcomes HPG Homes (Hot Property Group) as a Major Partner,2025-05-13,HPG
Chinese firm Livzon spends over $219 mln to acquire 64.8% stake in Vietnam's Imexpharm,2025-05-26,HPG
Police nab suspect in motorcycle ‘rentangay’ scheme,2025-05-27,HPG
Hoa Phat Becomes the sole high-speed rail track manufacturer in Southeast Asia,2025-05-29,HPG
Hoa Phat Expands Container Supply Partnership with Vinafco,2025-05-29,HPG
Vietnam's Hoa Phat Group to become Southeast Asia’s first producer of steel rails for high-speed railways,2025-05-30,HPG
Hoa Phat and Digiworld partner to distribute home appliance products nationwide,2025-06-11,HPG
PNP-HPG eyes on ‘pulong-pulong’ initiatives - HERALD EXPRESS | News in Cordillera and Northern Luzon,2025-06-23,HPG
Vietnam’ steel giant Hoa Phat reports 30% profit surge in Q2,2025-07-17,HPG
VN-Index posts steepest fall in one month,2025-07-21,HPG
Billionaire Tran Dinh Long gains $400 million as HPG breaks records,2025-07-22,HPG
Challenges mount for Vietnam’s Century Synthetic Fiber Corporation,2025-07-30,HPG
Over $1.1 bln in foreign capital to flow into Vietnamese stocks if market status upgraded: broker,2025-08-15,HPG
PNP HPG probes SUV using ‘wang-wang’ along Edsa,2025-08-19,HPG
hipages Group Holdings Limited's (ASX:HPG) Stock Has Seen Strong Momentum: Does That Call For Deeper Study Of Its Financial Prospects?,2025-08-23,HPG
hipages Group Holdings Full Year 2025 Earnings: EPS: AU$0.018 (vs AU$0.027 in FY 2024),2025-08-24,HPG
hipages Group Holdings Limited's (ASX:HPG) 32% Jump Shows Its Popularity With Investors,2025-08-24,HPG
