Date,Open,High,Low,Close,Volume,RSI,MACD,Signal_Line,BB_High,BB_Low,ATR,K_Line
2019-09-17,73.52,74.43,73.04,74.13,482570,67.65550148595491,0.0,0.0,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-18,73.83,74.98,73.64,74.85,972940,67.65550148595491,0.0574358974359086,0.0114871794871817,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-19,74.73,74.98,74.13,74.79,725700,67.65550148595491,0.0969946672510815,0.0285886770399616,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-20,74.85,74.85,73.89,73.89,1623350,67.65550148595491,0.0550877812971464,0.0338884978913986,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-23,74.43,75.7,74.25,75.34,1560140,67.65550148595491,0.1372964856774245,0.0545700954486038,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-24,75.34,77.21,75.22,76.79,1340450,67.65550148595491,0.3158098981044048,0.106818055979764,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-25,76.43,76.79,75.94,76.49,617630,67.65550148595491,0.4281402366371765,0.1710824921112465,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-26,76.91,78.73,76.55,78.67,1613560,67.65550148595491,0.6851723795145688,0.273900469591911,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-27,78.67,79.33,78.3,78.73,1183530,67.65550148595491,0.8835289315750288,0.3958261619885346,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-09-30,78.73,79.09,78.3,78.48,885490,67.65550148595491,1.0089247608921994,0.5184458817692676,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-10-01,78.36,78.48,77.27,77.46,1207380,67.65550148595491,1.014304117070708,0.6176175288295558,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-10-02,77.15,77.34,76.37,76.85,2070220,67.65550148595491,0.9582987224291344,0.6857537675494716,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-10-03,76.25,78.06,75.94,78.06,825310,67.65550148595491,1.0000232853460744,0.7486076711087922,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-10-04,78.12,79.21,77.76,77.82,641540,67.65550148595491,1.0021718940662367,0.7993205157002812,79.90082103559622,73.85017896440378,1.365714285714287,75.99364057870635
2019-10-07,77.7,78.67,77.58,78.12,833680,68.55813864203348,1.0163661385727352,0.842729640274772,79.90082103559622,73.85017896440378,1.344285714285716,78.73462200573891
2019-10-08,77.82,78.24,77.82,78.06,537440,65.90683753944919,1.0111181405242888,0.8764073403246755,79.90082103559622,73.85017896440378,1.27857142857143,76.6544116237971
2019-10-09,77.94,77.94,76.73,76.85,663150,59.163700330701126,0.8989595307652678,0.880917778412794,79.90082103559622,73.85017896440378,1.3128571428571436,54.41176460586063
2019-10-10,76.67,77.76,76.67,76.85,442150,64.31334535745941,0.8008414230536118,0.8649025073409576,79.90082103559622,73.85017896440378,1.3221428571428586,51.18110226145443
2019-10-11,76.85,77.46,76.79,77.46,631310,61.15789383556775,0.76350283241851,0.8446225723564682,79.90082103559622,73.85017896440378,1.240714285714286,54.50121641240568
2019-10-14,78.06,78.06,77.4,77.82,586040,56.1236613724954,0.7542660126055978,0.8265512604062941,79.90082103559622,73.85017896440378,1.145714285714286,55.457226975052286
2019-10-15,77.76,78.36,77.27,77.64,1165130,56.936066589740726,0.724074589531611,0.8060559262313575,79.80036853994166,74.30163146005835,1.162857142857143,50.14749247744111
2019-10-16,77.64,79.21,77.64,78.91,1321580,51.62601528080726,0.7934793197211292,0.8035406049293119,79.91730542549544,74.59069457450454,1.1149999999999989,87.6106192105881
2019-10-17,78.91,80.12,78.79,79.27,1409580,53.5156240244547,0.867531694431193,0.8163388228296882,80.01953372675051,74.93646627324948,1.1364285714285702,79.66507157974846
2019-10-18,79.57,80.48,79.57,80.18,1116920,60.19184551236706,0.9882561282418578,0.8507222839121221,79.99923490645526,75.58576509354472,1.1664285714285705,93.39207027887215
2019-10-21,80.18,81.99,79.82,80.84,2006630,71.17794361341952,1.1242281931563127,0.9054234657609604,80.35664946282621,75.77835053717378,1.2349999999999983,80.99173540331958
2019-10-22,81.09,81.33,80.06,80.18,1398920,70.73474347411407,1.1652977232954669,0.9573983172678616,80.62764052196535,75.84635947803464,1.2478571428571417,70.08264451226027
2019-10-23,80.18,80.3,79.39,80.06,847820,64.4092206026958,1.1746223098911486,1.0008431157925193,80.7899736812939,76.04102631870609,1.1614285714285697,63.721804391500456
2019-10-24,80.0,80.72,80.0,80.24,520890,67.58720792700447,1.182900862809234,1.0372546651958623,81.0038492301121,75.9841507698879,1.109285714285713,67.10526303175698
2019-10-25,80.24,81.39,80.18,81.39,816560,71.15135705547345,1.2676444485677507,1.0833326218702402,81.45167399143585,75.80232600856414,1.117857142857141,88.72180434450799
2019-10-28,81.39,81.93,80.84,80.97,558360,67.98516569617757,1.286088631728191,1.1238838238418305,81.76226157527582,75.74073842472417,1.165714285714284,80.8270675172424
2019-10-29,80.91,81.63,80.84,81.15,520280,80.453256194978,1.3002418962359172,1.159155438320648,82.06351052840157,75.80848947159845,1.1271428571428552,84.2105261574992
2019-10-30,81.33,81.57,79.27,79.88,1301690,68.18727376395935,1.1952025234572403,1.1663648553479664,82.08019197599039,76.09480802400962,1.213571428571426,59.4230768088017
2019-10-31,79.88,79.88,77.94,78.67,2550480,56.77491512334964,1.002761960471588,1.1336442763726908,82.0788647385518,76.15713526144822,1.3042857142857127,29.66101688631153
2019-11-01,78.79,80.48,78.79,80.12,969370,61.477045049222966,0.9562314685543782,1.0981617148090284,82.16006499307473,76.30593500692528,1.3864285714285702,60.38135580427698
2019-11-04,80.48,80.48,79.03,79.45,1407970,58.61084603182507,0.85543143678386,1.049615659203995,82.18016129103778,76.41883870896221,1.4121428571428558,41.60919530664564
2019-11-05,79.45,79.45,78.18,78.18,1876790,46.52711641162743,0.6653980052054322,0.9727721284042824,82.17577213087235,76.43522786912767,1.390714285714285,5.925925911294239
2019-11-06,78.06,78.97,77.76,78.73,1184100,47.476634892829125,0.5528031741373809,0.888778337550902,82.04555744457662,76.75344255542342,1.3821428571428558,22.93144202616683
2019-11-07,78.36,78.55,77.88,78.12,866170,40.09615330639793,0.4096271307178227,0.7929480961842862,81.90449307208762,77.02150692791237,1.35642857142857,8.510638277752635
2019-11-08,78.12,78.85,78.0,78.18,1193130,36.42857090816331,0.2975703772612661,0.6938725523996822,81.83509570820502,77.16290429179497,1.2621428571428552,10.071942421889863
2019-11-11,78.18,78.79,78.06,78.24,645500,39.45652113870504,0.211171833929086,0.5973324087055629,81.79940897233409,77.24059102766593,1.2235714285714272,11.51079133930241
2019-11-12,78.24,78.24,77.03,77.15,1934480,35.69321484788101,0.0541225839231884,0.488690443749088,81.86859901760707,77.12240098239295,1.2449999999999986,2.4489795868389077
2019-11-13,77.15,77.15,75.88,75.94,1956940,30.8035710435268,-0.166062698376848,0.3577398153239008,82.19795810303526,76.49604189696475,1.2842857142857136,0.991735535550886
2019-11-14,76.25,76.49,76.0,76.19,695470,24.7572812168913,-0.3167370625905334,0.2228444397410139,82.37499606338031,76.01100393661972,1.2371428571428569,5.123966933679421
2019-11-15,76.25,76.25,72.62,74.43,2384360,21.907216231356514,-0.5715760993665953,0.0639603319194921,82.69337803393923,75.11762196606078,1.4185714285714277,20.088790210778303
2019-11-18,74.43,74.67,72.86,73.1,1671470,18.53010143907622,-0.8708194917197432,-0.1229956328083549,82.99344204608158,74.04355795391842,1.491428571428571,5.363128485627682
2019-11-19,72.86,75.28,72.86,75.28,1078610,33.21167849272737,-0.921442440238934,-0.2826849942944708,82.89942363465758,73.64757636534242,1.5,33.84223914269431
2019-11-20,75.34,75.52,74.61,75.04,1150700,35.74234053386272,-0.9697488250874358,-0.4200977604530638,82.78308322388952,73.2619167761105,1.4264285714285714,30.78880403207534
2019-11-21,74.73,74.91,73.64,73.83,1395000,24.819855606502784,-1.093068655665732,-0.5546919394955975,82.69157481576384,72.71242518423618,1.3971428571428572,15.394402016037578
2019-11-22,74.07,74.55,73.4,73.52,719680,25.55647126315692,-1.201959478418928,-0.6841454472802636,82.31473306226187,72.30226693773815,1.375714285714285,13.177159570750744
2019-11-25,73.95,74.61,72.98,74.37,680740,33.7318527137097,-1.2057689893689345,-0.7884701556979978,81.83640630665207,72.12059369334793,1.4014285714285708,27.559055074710177
2019-11-26,74.37,75.04,74.25,74.43,971390,30.83778927653385,-1.190226367015029,-0.8688213979614041,81.20624672944565,72.07875327055437,1.3714285714285717,29.05296945577381
2019-11-27,74.85,74.85,73.89,73.89,366920,31.031389744897368,-1.207562188623598,-0.936569556093843,80.79704180728606,71.88895819271391,1.3792857142857131,20.385232712062194
2019-11-28,73.89,74.01,72.86,73.89,1107720,30.658250289255637,-1.207382992577621,-0.9907322433905986,80.5452582380269,71.66274176197312,1.4007142857142856,20.58346836210128
2019-11-29,73.83,74.07,73.34,73.52,549840,29.298245254232143,-1.222998915988029,-1.0371855779100847,79.93050359139299,71.61749640860701,1.4007142857142847,16.014234846949634
2019-12-02,73.52,73.52,71.59,71.59,1489150,27.2875813872336,-1.3752564181928904,-1.104799745966646,79.5603321047872,71.20166789521281,1.452142857142856,0.0
2019-12-03,71.28,71.28,70.26,70.44,1422610,27.42200296887688,-1.5706119379466514,-1.197962184362647,79.50249677363692,70.48550322636308,1.4564285714285694,2.889245581237052
2019-12-04,70.44,71.89,70.44,71.89,693700,33.931240302662715,-1.5901000296289851,-1.2763897534159143,79.00217047457852,70.30182952542151,1.520714285714284,27.212019987959845
2019-12-05,72.43,72.43,71.28,71.28,694150,37.12183113679018,-1.6359086481307656,-1.348293532358885,78.5870624449375,70.0329375550625,1.3435714285714278,19.391634944122323
2019-12-06,71.34,71.34,70.38,70.38,937120,38.47457581470847,-1.7249506295993342,-1.4236249518069748,78.13323728515884,69.70676271484113,1.2828571428571425,2.2813688169553927
2019-12-09,70.38,71.53,70.38,71.47,766050,32.21288473297821,-1.688103741808618,-1.4765207098073034,77.40297546594796,69.76002453405202,1.192142857142857,23.00380223763528
2019-12-10,71.47,71.83,71.1,71.53,850090,33.33333289015515,-1.6352111232625075,-1.5082587924983444,76.83268867589283,69.76831132410717,1.1792857142857147,26.56903760131992
2019-12-11,71.22,71.77,70.98,71.77,793940,39.225940848155695,-1.5559908537661329,-1.5178052047519022,76.45648072164428,69.72751927835571,1.135714285714285,31.58995809290784
2019-12-12,72.01,72.31,71.95,72.13,701380,42.7679494289789,-1.4474736528357397,-1.5037388943686698,75.94194956601511,69.83605043398488,1.0921428571428575,39.12133883028987
2019-12-13,72.19,72.55,71.4,71.4,564680,34.3519489136699,-1.404191245806686,-1.4838293646562732,75.7691149943033,69.7058850056967,1.057857142857143,23.849372335043164
