MAE,RMSE,R2,MAPE,Scenario
7.360178558467525,10.862934995911607,0.8618270408506686,2.8639675103832367,1. XGB Pure
6.375997735888222,8.354859277261978,0.918265205325016,2.70997766924083,2. BiLSTM Pure
7.360178558467525,10.862934995911607,0.8618270408506686,2.8639675103832367,4. XGB + Sentiment
6.279606738980207,8.260574196749229,0.9200995601626973,2.6794462785896194,5. BiLSTM + Sentiment
7.418634248381267,10.935050574621009,0.859986378407997,2.886681425597818,6. XGB + mBERT
6.506032860001369,8.600571951262921,0.9133869436215899,2.7843341931305545,7. BiLSTM + mBERT
