Date,Open,High,Low,Close,Volume,sentiment
2023-01-03,128.10576142344397,128.71540946850325,122.09773035328112,122.9827117919922,112117500,0.0
2023-01-04,124.77233620258212,126.51280092971427,122.9925456360047,124.25118255615234,89113600,0.0
2023-01-05,125.00834271164996,125.63766124201172,122.67790010774006,122.93355560302734,80962700,0.0
2023-01-06,123.90701849100518,128.11558077623516,122.80570749443298,127.4567642211914,87754700,0.0
2023-01-09,128.2925949020793,131.18353181246084,127.72227268810084,127.9779281616211,70790800,0.0
2023-01-10,128.08610610497774,129.06941726347972,125.98182082594904,128.5482635498047,63896200,0.0
2023-01-11,129.05959971999454,131.2818777117784,128.2827904454057,131.26222229003906,69458900,-0.43737750000000003
2023-01-12,131.64572074057682,132.0193688291939,129.24643878440378,131.18356323242188,71379600,-0.982005
2023-01-13,129.8265664212103,132.6683349676498,129.46274610687885,132.51100158691406,57809700,0.0
2023-01-17,132.5798345273993,134.99877137842552,131.89151977321038,133.6713104248047,63646600,0.0
2023-01-18,134.53662257229425,136.29674271738915,132.7764874230637,132.9534912109375,69672800,0.0
2023-01-19,131.84235433638028,133.9761376268957,131.53753029546905,133.0124969482422,58280400,0.0
2023-01-20,133.0222897939842,135.7165669083965,131.97998269986445,135.56906127929688,80223600,0.0
2023-01-23,135.81491475833332,140.9281441212582,135.59858513124948,138.75502014160156,81760300,0.0
2023-01-24,137.96838472187488,140.77082749424633,137.95855701188813,140.15133666992188,66435100,0.0
2023-01-25,138.53869500355867,140.0529874380773,136.49340619294276,139.4925079345703,65799300,0.0
2023-01-26,140.78067082207204,141.842648779811,139.53186132489677,141.5574951171875,54105100,0.0
2023-01-27,140.7708520955252,144.77292136359273,140.69218538947123,143.49461364746094,70555800,0.0
2023-01-30,142.540806802597,143.12095684480488,140.4660194445421,140.61351013183594,64015300,0.0
2023-01-31,140.31848180314623,141.93111130163894,139.9054929686203,141.88194274902344,65874500,0.0
2023-02-01,141.56730384751015,144.16324461699494,138.961535368266,143.0029296875,77663600,0.0
2023-02-02,146.41500811186492,148.65695608667727,145.69719525256042,148.302978515625,118339000,0.0
2023-02-03,145.5595309829737,154.75349514117664,145.36287177724367,151.9215545654297,154357300,0.0
2023-02-06,150.0237617823619,150.54491539574025,148.26362674506663,149.19776916503906,69858300,0.0
2023-02-07,148.12597415973434,152.63936822302708,148.12597415973434,152.0690460205078,83322600,0.0
2023-02-08,151.31190929849808,152.0002240332312,148.64712974900905,149.38461303710938,64120100,0.0
2023-02-09,151.213581264491,151.75440537570756,147.9096553354024,148.35214233398438,56007100,0.0
2023-02-10,147.19009004770194,149.04152741969745,146.95372962642622,148.71653747558594,57450700,0.0316308
2023-02-13,148.65746211757215,151.9171894883824,148.6279189411094,151.513427734375,62199000,0.0
2023-02-14,149.80963097340685,151.43458016213006,148.5687729786889,150.87322998046875,61707600,0.0
2023-02-15,150.78461690781828,153.1383177826238,150.55811427879885,152.9709014892578,65573800,0.0
2023-02-16,151.17854429955682,153.95572244720177,151.02098573800205,151.37551879882812,68167900,0.0
2023-02-17,150.03617955770974,150.67630162569367,148.55896091432058,150.23313903808594,59144100,0.0
2023-02-21,147.91882364629484,149.00212332766463,146.15601601247863,146.22494506835938,58867200,0.0
2023-02-22,146.60903658364012,147.67263591965713,144.9250155718982,146.6484375,51011300,0.0
2023-02-23,147.8105044744373,148.05670759936388,145.00379786650186,147.1309814453125,48394200,0.0
2023-02-24,144.87576101262292,144.9545478123535,143.50687229977612,144.48184204101562,55469600,0.0
2023-02-27,145.46664446890208,146.9044621404894,145.21058363066865,145.67344665527344,44998500,0.0
2023-02-28,144.81668575965537,146.81585399639758,144.60002580056587,145.1712188720703,50547000,0.0
2023-03-01,144.59999202590106,144.99391093566584,142.80762642427203,143.1030731201172,55479000,0.0
2023-03-02,142.1872231725768,144.481837933212,141.71450238763347,143.69398498535156,52238100,0.0
2023-03-03,145.79165662743975,148.8150386455079,145.09244806812092,148.7362518310547,70732300,0.0
