Date,Open,High,Low,Close,Volume,sma_20_ratio,sma_50_ratio,bb_upper_ratio,bb_lower_ratio,rsi,macd_ratio,return_5d,return_10d,volatility_20d,vol_log_ret
2019-11-25,73.95,74.61,72.98,74.37,680740,-0.03507462686567154,-0.0425601721124109,0.10039540549485089,0.03024615176350782,0.5090206093733396,-0.016213109982102115,0.017373461012311964,-0.04946319018404899,0.013620143017535452,-0.05562614752240691
2019-11-26,74.37,75.04,74.25,74.43,971390,-0.029725916968964202,-0.0418003493215101,0.09104187463987162,0.031590040701943226,0.44587628061563483,-0.015991218151485007,-0.011291179596174206,-0.035255994815294844,0.013588886166075002,0.35554715413631754
2019-11-27,74.85,74.85,73.89,73.89,366920,-0.03319799702260101,-0.04915414805792381,0.09347735562709518,0.027081361581893164,0.44993497230287466,-0.016342701158798184,-0.015325159914712283,-0.02699499604951272,0.013344877706455316,-0.9735824988628714
2019-11-29,73.83,74.07,73.34,73.52,549840,-0.03489526659412405,-0.054088683351469054,0.09587154336008728,0.026081010171839177,0.42183622096066103,-0.016823975273303808,-0.004198835161858372,-0.03504396902480644,0.013081298004440679,0.4044825794951219
2019-12-02,73.52,73.52,71.59,71.59,1489150,-0.056837547143455826,-0.0818633887414444,0.11955413537766998,0.005879041090758338,0.3343343296489698,-0.019552276593666474,-0.026251360174102234,-0.0381566572618568,0.012990087533979754,0.9963322923622453
2019-12-03,71.28,71.28,70.26,70.44,1422610,-0.06769591141396938,-0.09813458262350934,0.1343032604195136,-0.0010885624084251632,0.332338303828124,-0.02275868740882256,-0.05284388866478429,-0.036388508891928795,0.013190976232617587,-0.04571224329421675
2019-12-04,70.44,71.89,70.44,71.89,693700,-0.04178606203922647,-0.07462233968563077,0.10711372642319043,0.023541602344737497,0.5418551950384936,-0.022652972509104797,-0.03412602445250579,-0.04503188097768329,0.014216753666157295,-0.7182081626550687
2019-12-05,72.43,72.43,71.28,71.28,694150,-0.04547558922558925,-0.0823569023569024,0.10995459662714263,0.019003418175964116,0.4804232733058998,-0.0235483303545254,-0.035322777101096214,-0.05010660980810244,0.013999507022439637,0.000648484155039597
2019-12-06,71.34,71.34,70.38,70.38,937120,-0.053346121057118605,-0.09384200056834335,0.11904141545686615,0.012349173342628935,0.5285215280566925,-0.02515440960181267,-0.04270946681175192,-0.04672897196261683,0.014094551722902478,0.30012289334950637
2019-12-09,70.38,71.53,70.38,71.47,766050,-0.032587099482300375,-0.07512802574506805,0.09350117867407046,0.028326979709469714,0.7754820787097132,-0.02427867523986513,-0.0016762117614192995,-0.027883569096844307,0.01478497115900973,-0.20156366228136946
2019-12-10,71.47,71.83,71.1,71.53,850090,-0.027030616524535093,-0.07228295819935693,0.08191234657515253,0.027851113526082348,0.4834710650570332,-0.02352972307852645,0.015474162407723036,-0.038187441172515824,0.014786298423639765,0.10409465541877516
2019-12-11,71.22,71.77,70.98,71.77,793940,-0.019848125957921264,-0.06711160652083055,0.06979315088508478,0.030096898969242256,0.5341880235347118,-0.022348110526815013,-0.0016692168590903833,-0.03573827757624626,0.014702949629692623,-0.06833425139608096
2019-12-12,72.01,72.31,71.95,72.13,701380,-0.012117010952446905,-0.0604769166782199,0.05881967305733068,0.03458565115243687,0.7074010156564302,-0.020725216416149172,0.011924803591470079,-0.023819190688861847,0.014528065391888962,-0.12395790252203476
2019-12-13,72.19,72.55,71.4,71.4,564680,-0.019110644257702973,-0.06945378151260488,0.06230391152979679,0.02408262301439084,0.6597110606164466,-0.020317893754543615,0.01449275362318847,-0.02883569096844385,0.014557613950234069,-0.21679027873045875
2019-12-16,71.71,71.89,71.22,71.83,751280,-0.011200055687038706,-0.06138382291521646,0.05305750507266652,0.030657393698589115,0.5922953317943257,-0.019006323668921327,0.005037078494473102,0.003352423522838377,0.01389764217228792,0.2855187796281964
2019-12-17,71.89,71.89,70.86,70.86,829630,-0.02346175557437212,-0.07386395709850421,0.06719689553064578,0.020273384381901544,0.5041666568634252,-0.019193885244358715,-0.009366699287012503,0.00596252129471897,0.01366238523270709,0.09920127406602575
2019-12-18,71.04,72.01,70.98,71.77,1400340,-0.008039570851330812,-0.05849519297756723,0.04743185978612471,0.031352718083463085,0.6816816673520362,-0.017666925630235034,0.0,-0.0016692168590903833,0.01204792754746646,0.523490033750063
2019-12-19,71.77,72.62,71.77,72.43,1582510,0.0029476736159049595,-0.0476294353168574,0.03196903321206159,0.03786438044387151,0.8267090436026618,-0.015583039493464705,0.004159157077499032,0.01613355780022463,0.012315980019490509,0.12229704764781246
2019-12-20,72.62,72.8,72.31,72.62,1822570,0.006389424400991639,-0.04372349215092266,0.02696405335354108,0.039742902155524354,1.2362384924143608,-0.013653831872962647,0.017086834733893497,0.03182722364308055,0.01186522367012411,0.14123531557895674
2019-12-23,72.62,72.62,71.4,71.4,786100,-0.009103641456582512,-0.05985994397759085,0.04209283222980561,0.02388554931664058,1.216704250487904,-0.013587101835154634,-0.0059863566754836395,-0.0009794319294808007,0.012380853786029383,-0.8409181376982975
2019-12-24,71.4,71.89,71.4,71.77,577000,-0.0020900097533789286,-0.052710045980214594,0.031184642541419408,0.027004623034661553,0.9729119331359649,-0.012717906352545225,0.012842224103866817,0.0033552355654968835,0.012108838679439743,-0.3092412832928364
2019-12-26,71.9,72.02,71.41,71.41,345150,-0.005027307099845885,-0.0562722307800028,0.029252672911557694,0.019198058711865924,1.0311004439344338,-0.012409242637469285,-0.005016023408109249,-0.005016023408109249,0.012115193689074053,-0.5138619971725316
2019-12-27,71.41,72.32,70.8,72.14,383460,0.006355697255336856,-0.04370668145273088,0.013454396941714686,0.0261657914523884,1.5365853002677043,-0.011047347797521376,-0.004003865801463613,0.00013863856925011575,0.01234429291231796,0.1052559182844579
2019-12-30,71.9,72.02,71.1,71.1,672140,-0.006476793248945294,-0.0566751054852321,0.0227595139690108,0.009805927471120213,0.9143518222200785,-0.011265254675467695,-0.02093087303773078,-0.004201680672269115,0.012674900541475605,0.5612302192215068
2019-12-31,72.63,72.63,71.04,71.1,387640,-0.006132208157524713,-0.0541209563994376,0.02266768927943533,0.010403272964385904,0.9004629337812919,-0.01118099649134661,-0.004201680672269115,-0.010162884588612031,0.01126847292553734,-0.5503884863661277
2020-01-02,71.41,72.14,71.1,71.96,352700,0.004836020011117274,-0.039055030572540325,0.01002000977961093,0.019692049801845475,1.043981447648749,-0.009902887366617399,0.0026473456876132673,0.015523567598080712,0.010947591238949042,-0.09445898106740103
2020-01-03,72.14,72.63,72.14,72.2,625390,0.007929362880886498,-0.03339058171745145,0.007232589188412495,0.02309131495018549,1.016203670771179,-0.00859862561623917,0.011062876347850636,0.005991361293019359,0.009969593834975922,0.5727563816215415
2020-01-06,72.14,72.14,71.28,71.65,495910,5.5826936496927956e-05,-0.038975575715282526,0.01505098095227249,0.015162634825266346,1.060386437571473,-0.008174522022665772,-0.006792348211810295,-0.010769018362556948,0.009931347673862986,-0.23198057898971314
2020-01-07,71.71,72.51,71.71,72.32,459520,0.007978429203539798,-0.02715984513274344,0.005067764934292403,0.021024623341372,1.1183574501038531,-0.006887026684516213,0.01715893108298161,-0.004131093362710114,0.009636629177067924,-0.07621183253930397
2020-01-08,72.32,72.51,71.71,72.51,837710,0.009860708867742622,-0.022019031857674932,0.0038403371027154404,0.023561754838200687,1.5205046647095746,-0.005634772786092149,0.019831223628692163,0.015546218487394903,0.009059255058725266,0.6004885296648208
2020-01-09,72.63,72.93,72.26,72.38,624130,0.007495164410057886,-0.021481072119369997,0.006571545652593909,0.021561874472709682,1.184848434582187,-0.00475513219538128,0.005836575875486361,0.008499372997073928,0.009077169508557503,-0.29431289003269434
2020-01-10,72.38,72.75,72.26,72.57,596280,0.009542510679344019,-0.01644205594598325,0.005182476036840793,0.02426749739552883,1.0424241982001814,-0.00378449750003756,0.005124653739612128,0.0162442234981095,0.009067094402237312,-0.04564824976811721
2020-01-13,72.63,72.63,71.65,71.65,412880,-0.0028401953942778133,-0.027196092114445205,0.01772188274683045,0.012041491958274822,0.7701421545450473,-0.004053344268191263,0.0,-0.006792348211810295,0.009467227537207587,-0.3675526166165124
2020-01-14,71.65,72.08,71.47,71.9,335180,0.000299026425591143,-0.021741307371349022,0.014231316345220952,0.014829369196403238,1.166666612222225,-0.0038878105542130437,-0.0058075221238936825,0.011251758087201358,0.00920911930151929,-0.20848873142493218
2020-01-15,71.9,71.96,71.53,71.9,681740,0.0002503477051460456,-0.01945479833101502,0.014277002901949783,0.014777698312241875,1.04333328464445,-0.0037248554267373646,-0.008412632740311676,0.011251758087201358,0.009113196920444674,0.7099791358945833
2020-01-16,71.9,72.32,71.53,72.14,545090,0.0026892154144718965,-0.014036595508733105,0.010224652376378597,0.015603083205322391,1.2765150838211714,-0.003277518517740055,-0.003315833103067045,0.002501389660922726,0.008551953474908468,-0.22369706711647197
2020-01-17,72.14,72.38,71.9,72.38,375030,0.005574744404531555,-0.009071566731141165,0.007511149001181534,0.018660637810244646,1.0909090330578524,-0.0026252743192909885,-0.0026181617748380903,0.002493074792243588,0.00810752061791166,-0.373944063981579
2020-01-21,72.63,74.4,72.38,73.85,853940,0.02440758293838875,0.012335815842924674,-0.007432533159515447,0.04138263271726205,2.718749762109402,-0.00046331475170267313,0.030704815073272718,0.030704815073272718,0.009062746114159137,0.8228534155305454
2020-01-22,74.4,74.4,73.85,74.03,794440,0.025827367283533784,0.01584222612454423,-0.0053012132881974875,0.04635352127887008,2.831249752265658,0.0013859226456391569,0.029624478442280777,0.023644911504424826,0.009061100358855632,-0.0722233820728242
2020-01-30,72.63,73.12,70.92,71.16,1533720,-0.013293985385047752,-0.021877459246767986,0.035033284325337345,0.008445313555241843,0.8210290570594933,-0.0002856028342018124,-0.010292072322670487,-0.018618121638394824,0.012140724720034654,0.6578133652628058
2020-01-31,71.04,71.16,66.22,66.22,1915820,-0.084694956206584,-0.09447900936273028,0.1308433022597643,-0.038546610153403715,0.36450583942286674,-0.007708750132669563,-0.0820626559467702,-0.08510638297872342,0.019601492173811717,0.22244944242604348
2020-02-03,61.95,67.44,61.64,66.1,2289150,-0.08264750378214838,-0.09312254160363087,0.1429984336320791,-0.0222965739322177,0.38195990495830784,-0.013589248524941061,-0.086764299530257,-0.08915529833264435,0.01960436023783484,0.17803475508132038
2020-02-04,67.07,67.13,63.53,64.08,1869040,-0.11048689138576777,-0.12387952559300866,0.19149766919057337,-0.02947611358096215,0.25090908771570297,-0.02111369368298302,-0.13229519295870007,-0.10565247732030714,0.02019561269344781,-0.20275554136868124
2020-02-05,64.94,65.73,63.05,65.06,1545750,-0.08911773747310178,-0.10352905010759285,0.1792639007983096,0.00102842585210603,0.32272726861983453,-0.02483291646929161,-0.12116709442118057,-0.09513212795549375,0.020609646341342665,-0.1899155887059738
2020-02-06,64.69,66.28,64.63,65.61,2137020,-0.07580399329370503,-0.09158969669257745,0.17203833838379637,0.020430351796386297,0.37718490774554836,-0.02681198132340204,-0.07799325463743667,-0.08748261474269825,0.020786701544011518,0.3239029267573361
2020-02-07,65.73,67.44,65.67,67.26,1523380,-0.045918822479928574,-0.06307463574189716,0.1417660703045632,0.04992842534470605,0.5114995334305494,-0.02557085028072977,0.01570522500755067,-0.06764624341558079,0.021504516622094176,-0.33848059637191596
2020-02-10,66.52,66.77,65.49,66.52,910510,-0.05328472639807576,-0.07226698737221902,0.15253059817696388,0.04596114538081235,0.5201122476318317,-0.02598593214832099,0.006354009077155887,-0.08096159159988947,0.02151606929235203,-0.5146815053903229
2020-02-11,66.52,66.52,65.3,65.43,885960,-0.06607825156655961,-0.0871924193794895,0.171045553884754,0.0388890507516348,0.4507640014340442,-0.027550730330947078,0.021067415730337213,-0.11401489505754892,0.02168527977810284,-0.027333048791144066
2020-02-12,65.91,65.91,65.43,65.43,838170,-0.06081308268378418,-0.08462478985174983,0.16803584527783216,0.04640967991026382,0.4507640014340442,-0.028123576481565073,0.005687058100215303,-0.11616912062677287,0.021475230963307956,-0.0554507946331011
