Date,Open,High,Low,Close,Volume,sma_20_ratio,sma_50_ratio,bb_upper_ratio,bb_lower_ratio,rsi,macd_ratio,return_5d,return_10d,volatility_20d,vol_log_ret
2019-11-25,197.96644247844264,199.4051490306744,197.69854059327585,198.2343292236328,15272300,0.028737511531591597,0.05950533137666704,0.006585612506380607,0.0640606355695638,1.6622218876643207,0.015483113924449132,0.012107204725182452,0.05368909618895268,0.009742438324674628,0.4274837040238637
2019-11-26,198.4427400082425,198.5915660072569,196.49799449457072,197.42076110839844,11735500,0.0223074450963571,0.05453492600613367,0.012943329021924336,0.05755821921463854,2.175923462648426,0.015485666747764562,-0.0017559702138566502,0.023139837876577696,0.009838371045878348,-0.26342227431009846
2019-11-27,198.3435149488644,201.55829282574896,197.8672566063561,200.4271697998047,12736600,0.03356936459641447,0.06734462640257725,0.0016592201935189904,0.06879794938634794,3.235536427210737,0.016228865313886367,0.022733068140418533,0.045602809927276056,0.010032185646212834,0.08186129586801627
2019-11-29,200.03027966309168,202.21314668437967,199.64331694177235,200.0699615478516,7985200,0.02936669187299836,0.06453880078112954,0.007608653736594708,0.06634203748259143,2.9494670871403406,0.016695772018400126,0.01874404793769724,0.04395536587684523,0.00949115307914441,-0.4668898635109766
2019-12-02,200.55612149055764,200.60572005404404,196.5078885555953,198.14503479003903,11503400,0.01841496675595238,0.05447257442128525,0.019592231062656697,0.05642216457456146,2.614401653533999,0.016237330609048233,0.004425910589335169,0.023577472051627524,0.00968342780728594,0.3650527772294101
2019-12-03,196.0614250051321,197.3810558479545,193.5610423461413,197.2719268798828,11595300,0.013039477467187968,0.04908063193835158,0.02550310917230466,0.0515820641066806,1.6101028519018117,0.01528186598179706,-0.004854872249015374,0.007193553543933584,0.009721828468023141,0.007957199058399311
2019-12-04,198.4427297067365,198.47249490499425,196.50791612009164,197.16278076171875,8456300,0.011388486881310307,0.04679990186715531,0.027283173860094136,0.050060147622714754,1.9261823824724584,0.014266583081766107,-0.0013067538856160743,-0.003060429478572768,0.009702075388685573,-0.3156880858749389
2019-12-05,198.3037849582528,199.7226429548704,196.6666387867746,197.80767822265625,9740400,0.012652821100188527,0.04824623458868134,0.024596721228330398,0.04990236342870746,2.0489829359670026,0.013518630969715582,-0.013069543314735754,0.009366414006944934,0.009002575192718453,0.14137044327727466
2019-12-06,198.9388223508887,200.0004981463346,198.5022459542559,199.4845428466797,12270600,0.018308833366390286,0.054163603262467185,0.016516368571810127,0.0531340353045907,2.0050707406244856,0.013377851660622097,-0.002926069943947507,0.01576313159845122,0.008908899292676496,0.23092395154019485
2019-12-09,199.087648041942,201.55826529748649,198.651086785922,199.77227783203125,11954800,0.017115251771349736,0.05311803845259599,0.015152175950993762,0.04938267949369323,1.6655409396508514,0.013300011323763827,0.008212383639673249,0.012674641504722972,0.008913019944175427,-0.026073283761540722
2019-12-10,200.0898112529777,200.47677397660377,198.5915589297242,199.3059539794922,9475700,0.012012744880745043,0.04863345127343533,0.014466232515208923,0.03849172227669901,1.2425663546799097,0.012946565217424993,0.010310778283459943,0.00540584852309034,0.008736199350847445,-0.2324022226161695
2019-12-11,198.7205711359913,201.05227953378449,198.7205711359913,200.6851501464844,8036800,0.016876884014433727,0.05255621040651923,0.008979303654495707,0.042733071683363155,2.0371338530398746,0.0129600676931431,0.017865285583604118,0.016535186166634075,0.00700730911567166,-0.16469961395939414
2019-12-12,200.7744195601007,202.07421689896148,192.5886577048553,195.218017578125,23734800,-0.01156043611096868,0.02377120713395103,0.03507556398361449,0.011954691761677128,0.8830512536014948,0.011019686930752842,-0.01309181052929742,-0.025990249859252135,0.009438476958561263,1.0829112492841855
2019-12-13,194.8707650108413,195.2676595756169,191.6659189926737,192.59860229492188,18798000,-0.025565327976820356,0.008976424128329347,0.048147989563828,-0.0029826663898127118,0.6300064923755347,0.008128192147964137,-0.03451866722851915,-0.03734373313778416,0.00997138489358692,-0.23319183333019566
2019-12-16,193.7495463683545,197.5695594956512,193.2931214685332,196.37890625,14911500,-0.00653554638548525,0.02628832201181547,0.026801823991284866,0.013730731220314365,0.8531036154466562,0.007079527299037388,-0.016986198579987177,-0.008913312119632422,0.010667948360621493,-0.23161773999475344
