MAE,RMSE,R2,MAPE,Scenario,Ticker
2.0816034757912054,3.245322818820469,0.9657627984688172,0.930815511192867,1. XGB Pure,AMZN
5.330514893016484,7.206337320209919,0.8311847693261196,2.470641590429276,2. BiLSTM Pure,AMZN
2.0816034757912054,3.245322818820469,0.9657627984688172,0.930815511192867,4. XGB + Sentiment,AMZN
5.2780006234564,7.32997404229125,0.8253424653249023,2.456693008374547,5. BiLSTM + Sentiment,AMZN
2.113996911462368,3.289240734134378,0.9648298863055476,0.9449303557933764,6. XGB + mBERT,AMZN
5.240556404859758,7.0932796098645525,0.8364401846323348,2.4352402602453265,7. BiLSTM + mBERT,AMZN
2.019028995742965,2.779469128083499,0.9396912885252036,0.8847953456105914,8. Decision Tree Pure,AMZN
1.8138714026569085,2.7175682765891267,0.942347616253038,0.7849565218642438,9. Random Forest Pure,AMZN
2.478943329173337,3.594753398544239,0.8991224452874532,1.07721520741858,10. Decision Tree + mBERT,AMZN
2.0540824500142123,3.1339311234955063,0.9233282748329104,0.8851414835744894,11. Random Forest + mBERT,AMZN
3.2444468137749936,4.538797571218777,0.8391807738596448,1.4322645511026977,"12. ARIMA(0, 1, 1)",AMZN
