MAE,RMSE,R2,MAPE,Scenario,Ticker
49.39688058171084,70.71293078069665,-0.2114185112030735,16.65206811885348,1. XGB Pure,GOOGL
10.456285329840142,13.50106087065589,0.9558396688549652,4.070019017598225,2. BiLSTM Pure,GOOGL
49.39688058171084,70.71293078069665,-0.2114185112030735,16.65206811885348,4. XGB + Sentiment,GOOGL
11.747238067912736,14.789493693978692,0.9470088744945134,4.58729903785774,5. BiLSTM + Sentiment,GOOGL
49.54272100382991,70.92831448205823,-0.2188094414407786,16.698714547749784,6. XGB + mBERT,GOOGL
13.422300950817004,16.98066457608425,0.9301436488093184,5.121716224315314,7. BiLSTM + mBERT,GOOGL
41.02869283916145,58.54174044187703,-0.3452613677849685,14.585307305414275,8. Decision Tree Pure,GOOGL
39.94987103965767,57.49578208169678,-0.2976195576236353,14.147692180518586,9. Random Forest Pure,GOOGL
42.44998723886924,60.07081690702174,-0.4164540383612372,15.140256580468606,10. Decision Tree + mBERT,GOOGL
41.74513113792916,59.48749196026279,-0.3890783073815596,14.834010759614408,11. Random Forest + mBERT,GOOGL
3.087176998719474,4.384029696276109,0.9924556403171861,1.2899451732311062,"12. ARIMA(0, 1, 0)",GOOGL
