MAE,RMSE,R2,MAPE,Scenario,Ticker
7.360178558467525,10.862934995911608,0.8618270408506686,2.8639675103832367,1. XGB Pure,AAPL
6.375997735888222,8.354859277261978,0.918265205325016,2.70997766924083,2. BiLSTM Pure,AAPL
7.360178558467525,10.862934995911608,0.8618270408506686,2.8639675103832367,4. XGB + Sentiment,AAPL
6.279606738980207,8.260574196749229,0.9200995601626972,2.67944627858962,5. BiLSTM + Sentiment,AAPL
7.418634248381267,10.935050574621007,0.859986378407997,2.886681425597818,6. XGB + mBERT,AAPL
6.506032860001369,8.600571951262921,0.91338694362159,2.7843341931305545,7. BiLSTM + mBERT,AAPL
6.7908998872533735,10.635341199729645,0.8602580144303833,2.574528803676921,8. Decision Tree Pure,AAPL
6.319533209522454,10.213756424319394,0.8711171745488725,2.377772536644605,9. Random Forest Pure,AAPL
6.834603762258218,10.663189880459354,0.8595252264565392,2.5905216136985647,10. Decision Tree + mBERT,AAPL
6.313640632608217,10.196670426124586,0.8715480150263822,2.3765828096182475,11. Random Forest + mBERT,AAPL
2.184889534451314,3.097324848639939,0.988147838285601,0.9253777359018576,"12. ARIMA(0, 1, 0)",AAPL
2.0816034757912054,3.245322818820469,0.9657627984688172,0.930815511192867,1. XGB Pure,AMZN
5.330514893016484,7.206337320209919,0.8311847693261196,2.470641590429276,2. BiLSTM Pure,AMZN
2.0816034757912054,3.245322818820469,0.9657627984688172,0.930815511192867,4. XGB + Sentiment,AMZN
5.2780006234564,7.32997404229125,0.8253424653249023,2.456693008374547,5. BiLSTM + Sentiment,AMZN
2.113996911462368,3.289240734134378,0.9648298863055476,0.9449303557933764,6. XGB + mBERT,AMZN
5.240556404859758,7.0932796098645525,0.8364401846323348,2.4352402602453265,7. BiLSTM + mBERT,AMZN
2.019028995742965,2.779469128083499,0.9396912885252036,0.8847953456105914,8. Decision Tree Pure,AMZN
1.8138714026569085,2.7175682765891267,0.942347616253038,0.7849565218642438,9. Random Forest Pure,AMZN
2.478943329173337,3.594753398544239,0.8991224452874532,1.07721520741858,10. Decision Tree + mBERT,AMZN
2.0540824500142123,3.1339311234955063,0.9233282748329104,0.8851414835744894,11. Random Forest + mBERT,AMZN
3.2444468137749936,4.538797571218777,0.8391807738596448,1.4322645511026977,"12. ARIMA(0, 1, 1)",AMZN
1.5558320182817549,2.0999137089454285,0.9916105429260444,1.0808671810012256,1. XGB Pure,BABA
6.334013982988759,8.142684334878602,0.8738561282890404,4.519064174848628,2. BiLSTM Pure,BABA
1.5558320182817549,2.0999137089454285,0.9916105429260444,1.0808671810012256,4. XGB + Sentiment,BABA
6.09356202407213,7.911655846570465,0.8809126219584074,4.339838652360402,5. BiLSTM + Sentiment,BABA
1.553725163660469,2.094676976881187,0.9916523337468156,1.0792809539505317,6. XGB + mBERT,BABA
6.338220795888415,8.19941377270846,0.8720923367621582,4.509630701860406,7. BiLSTM + mBERT,BABA
16.352728794326943,20.6635169049324,-0.2413097272003845,9.862771258470596,8. Decision Tree Pure,BABA
14.999597073716398,19.27889480757069,-0.0805278032808656,9.020825929991036,9. Random Forest Pure,BABA
16.691022150264764,20.93563336104705,-0.2742184437318045,10.088313065825266,10. Decision Tree + mBERT,BABA
14.850794930479823,19.130437760505487,-0.0639506765618325,8.928566832670045,11. Random Forest + mBERT,BABA
3.1768326848190025,4.290161511690524,0.9464919697800124,2.0614831489618126,"12. ARIMA(0, 1, 0)",BABA
49.39688058171084,70.71293078069665,-0.2114185112030735,16.65206811885348,1. XGB Pure,GOOGL
10.456285329840142,13.50106087065589,0.9558396688549652,4.070019017598225,2. BiLSTM Pure,GOOGL
49.39688058171084,70.71293078069665,-0.2114185112030735,16.65206811885348,4. XGB + Sentiment,GOOGL
11.747238067912736,14.789493693978692,0.9470088744945134,4.58729903785774,5. BiLSTM + Sentiment,GOOGL
49.54272100382991,70.92831448205823,-0.2188094414407786,16.698714547749784,6. XGB + mBERT,GOOGL
13.422300950817004,16.98066457608425,0.9301436488093184,5.121716224315314,7. BiLSTM + mBERT,GOOGL
41.02869283916145,58.54174044187703,-0.3452613677849685,14.585307305414275,8. Decision Tree Pure,GOOGL
39.94987103965767,57.49578208169678,-0.2976195576236353,14.147692180518586,9. Random Forest Pure,GOOGL
42.44998723886924,60.07081690702174,-0.4164540383612372,15.140256580468606,10. Decision Tree + mBERT,GOOGL
41.74513113792916,59.48749196026279,-0.3890783073815596,14.834010759614408,11. Random Forest + mBERT,GOOGL
3.087176998719474,4.384029696276109,0.992455640317186,1.2899451732311062,"12. ARIMA(0, 1, 0)",GOOGL
14.592821983065877,21.6490803866806,0.8949404431981526,2.0656444371015428,1. XGB Pure,META
23.46445229358614,29.77841703908906,0.8012258642333242,3.5504365664467565,2. BiLSTM Pure,META
14.592821983065877,21.6490803866806,0.8949404431981526,2.0656444371015428,4. XGB + Sentiment,META
20.941381715421617,27.353124677647493,0.8322855244990317,3.247971815340001,5. BiLSTM + Sentiment,META
14.824437494897646,21.91752525602301,0.8923188488580824,2.0976550775716434,6. XGB + mBERT,META
20.525464222434643,27.218105154772623,0.8339371704937936,3.198890880708855,7. BiLSTM + mBERT,META
15.54265775364756,21.620163462392743,0.8128770087792233,2.141547901138616,8. Decision Tree Pure,META
12.747031865242263,18.73331124942376,0.8595122999657194,1.738937583876278,9. Random Forest Pure,META
12.4738570257528,17.159652101780207,0.8821237904631448,1.7323263526678117,10. Decision Tree + mBERT,META
12.455466374838853,18.36780663601176,0.8649409152271759,1.700286712922433,11. Random Forest + mBERT,META
9.234204020721233,13.952663520000891,0.922066631726538,1.3179313084158404,"12. ARIMA(0, 1, 0)",META
0.5032514789146946,0.7401385761125181,0.9798100115148748,0.8583523396278304,1. XGB Pure,VNM
1.5396219417485717,2.245659537940315,0.8141349132757739,2.585539603709019,2. BiLSTM Pure,VNM
