MAE,RMSE,R2,MAPE,Scenario,Ticker
7.360178558467525,10.862934995911608,0.8618270408506686,2.8639675103832367,1. XGB Pure,AAPL
6.375997735888222,8.354859277261978,0.918265205325016,2.70997766924083,2. BiLSTM Pure,AAPL
7.360178558467525,10.862934995911608,0.8618270408506686,2.8639675103832367,4. XGB + Sentiment,AAPL
6.279606738980207,8.260574196749229,0.9200995601626972,2.67944627858962,5. BiLSTM + Sentiment,AAPL
7.418634248381267,10.935050574621007,0.859986378407997,2.886681425597818,6. XGB + mBERT,AAPL
6.506032860001369,8.600571951262921,0.91338694362159,2.7843341931305545,7. BiLSTM + mBERT,AAPL
6.7908998872533735,10.635341199729645,0.8602580144303833,2.574528803676921,8. Decision Tree Pure,AAPL
6.319533209522454,10.213756424319394,0.8711171745488725,2.377772536644605,9. Random Forest Pure,AAPL
6.834603762258218,10.663189880459354,0.8595252264565392,2.5905216136985647,10. Decision Tree + mBERT,AAPL
6.313640632608217,10.196670426124586,0.8715480150263822,2.3765828096182475,11. Random Forest + mBERT,AAPL
2.184889534451314,3.097324848639939,0.988147838285601,0.9253777359018575,"12. ARIMA(0, 1, 0)",AAPL
