MAE,RMSE,R2,MAPE,Scenario,Ticker
41.02869283916145,58.541740441877025,-0.3452613677849685,14.585307305414275,8. Decision Tree Pure,GOOGL
39.949871039657666,57.49578208169678,-0.29761955762363534,14.147692180518586,9. Random Forest Pure,GOOGL
42.44998723886924,60.07081690702174,-0.4164540383612372,15.140256580468606,10. Decision Tree + mBERT,GOOGL
41.74513113792916,59.48749196026279,-0.3890783073815596,14.834010759614408,11. Random Forest + mBERT,GOOGL
