MAE,RMSE,R2,MAPE,Scenario,Ticker
0.5032514789146946,0.7401385761125181,0.9798100115148748,0.8583523396278304,1. XGB Pure,VNM
1.5396219417485717,2.245659537940315,0.8141349132757739,2.585539603709019,2. BiLSTM Pure,VNM
0.5032514789146946,0.7401385761125181,0.9798100115148748,0.8583523396278304,4. XGB + Sentiment,VNM
1.5934860193295526,2.2553276340000736,0.812531081835979,2.6771509687880006,5. BiLSTM + Sentiment,VNM
0.5182085976369643,0.8157866491445411,0.9754719412481356,0.8915878109230622,6. XGB + mBERT,VNM
1.761257679432509,2.345790305395727,0.7971904670455927,2.991960244701087,7. BiLSTM + mBERT,VNM
0.7013391681509858,1.047771644337837,0.9429818237769496,1.1001968145081036,8. Decision Tree Pure,VNM
0.6022287498577795,0.9005094092004199,0.957883085233328,0.9396532982859174,9. Random Forest Pure,VNM
0.7390534834662191,1.12689209154825,0.9340454590529368,1.1535943449053985,10. Decision Tree + mBERT,VNM
0.6584874215036235,1.0048822683035068,0.9475542372870074,1.0209771238299798,11. Random Forest + mBERT,VNM
1.0142719081227807,1.378154707514983,0.9013547936455991,1.6187528285879,"12. ARIMA(0, 1, 1)",VNM
